market_segment,total_bookings,cancellation_rate,avg_adr,total_revenue
Aviation,237,21.940928270042196,100.14210970464136,87446.36
Complementary,742,13.07277628032345,2.886212938005391,5076.52
Corporate,5289,18.718094157685762,69.10411230856495,771776.26
Direct,11712,14.950478142076504,105.15362448770492,4089806.99
Groups,17747,59.19873781484194,79.63667098664563,4261676.46
Offline TA/TO,23219,34.071234764632415,86.00556526982213,7803765.28
Online TA,53777,36.264574074418434,110.81847090763709,21190322.51
Undefined,2,100.0,15.0,48.0
