hotel,total_bookings,cancellation_rate,avg_adr,total_revenue,avg_nights
City Hotel,75573,40.81616450319559,103.72756989930265,23858216.87,2.9998544453707012
Resort Hotel,37152,26.82224375538329,84.88675279931094,14351701.51,4.285099052540913
