,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic_Regression,0.7948990907074739,0.6988981335731954,0.7615780445969125,0.7288930581613509,0.8786502170646713
Random_Forest,0.8639166112220005,0.8223234624145785,0.7961283999019848,0.8090139442231076,0.9340403686231242
XGBoost,0.8677312042581503,0.821899080288342,0.8102180838029894,0.8160167818361304,0.9420859214614684
LightGBM,0.86569084054114,0.8168353492964701,0.8108306787552071,0.8138219380226267,0.9405253482787364
