,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic_Regression,0.7948990907074739,0.6988981335731954,0.7615780445969125,0.7288930581613509,0.8786234525045674
Random_Forest,0.8638278997560435,0.8215458449103309,0.7969860328350894,0.8090796019900498,0.9340392867965382
XGBoost,0.8667110223996451,0.8174319832574172,0.8135260965449644,0.815474362910654,0.9420782507146913
LightGBM,0.8657795520070969,0.8181367690782954,0.8091154128889978,0.8136010841443884,0.9409398710050423
